Employee_id,firstname,lastname,email,title,Total number of leaves,Leaves left
1,Anne,Rowe,anne.rowe@nicholson-brown.net,Staff Engineer,20,20
2,Sarah,Salinas,sarah.salin@cox.com,Staff Engineer,20,20
3,Jordan,Thompson,jorda.thomp@jones.net,Staff Engineer,20,20
4,Dennis,Ramirez,denni.ramir@mccann-thomas.com,Staff Engineer,20,20
5,David,Anderson,david.ander@tucker.info,Staff Engineer,20,19
6,Kristy,Jimenez,krist.jimen@bennett.com,Staff Engineer,20,20
7,Ralph,Snyder,ralph.snyde@williams.com,Staff Engineer,20,20
8,Chris,Jones,chris.jones@walker.net,Staff Engineer,20,20
9,Andrew,Dunn,andre.dunn@hansen-salas.com,Staff Engineer,20,20
10,Briana,Jackson,brian.jacks@ballard.biz,Staff Engineer,20,20
11,Thomas,Holt,thoma.holt@estrada-dean.net,Senior Engineer,18,18
12,Rebecca,Barton,rebec.barto@thompson-collins.com,Senior Engineer,18,18
13,Carrie,Prince,carri.princ@barker-anderson.com,Senior Engineer,18,18
14,Wesley,Fitzgerald,wesle.fitzg@valdez-black.com,Senior Engineer,18,18
15,Maria,Donovan,maria.donov@casey.org,Senior Engineer,18,18
16,Joseph,Delacruz,josep.delac@bowen.org,Senior Engineer,18,18
17,Sara,Goodman,sara.goodm@pruitt-swanson.net,Senior Engineer,18,18
18,Christopher,Martin,chris.marti@johnson.biz,Senior Engineer,18,18
19,Daniel,Mills,danie.mills@torres-webster.info,Senior Engineer,18,18
20,Tina,Butler,tina.butle@jones.com,Senior Engineer,18,18
21,Jennifer,Hill,jenni.hill@le.com,Senior Engineer,18,18
22,Ryan,Blake,ryan.blake@kemp.com,Senior Engineer,18,18
23,Elizabeth,Williams,eliza.willi@sanchez.biz,Senior Engineer,18,18
24,David,Larsen,david.larse@acevedo-lynch.com,Senior Engineer,18,18
25,Janice,Howell,janic.howel@atkins.com,Senior Engineer,18,18
26,Devin,Castillo,devin.casti@rodriguez-estrada.info,Senior Engineer,18,18
27,Johnathan,Berg,johna.berg@newton.com,Senior Engineer,18,18
28,Michael,Juarez,micha.juare@perez.net,Senior Engineer,18,18
29,Michele,Ferguson,miche.fergu@butler.com,Senior Engineer,18,18
30,Cassidy,Thomas,cassi.thoma@stark-johnson.com,Senior Engineer,18,18
31,Joseph,George,josep.georg@brown-moore.org,Junior Engineer,12,12
32,Daniel,Edwards,danie.edwar@meyer.net,Junior Engineer,12,12
33,Samantha,Smith,saman.smith@klein.com,Junior Engineer,12,12
34,Nicole,Kidd,nicol.kidd@perez.com,Junior Engineer,12,12
35,Jennifer,Hull,jenni.hull@jensen.net,Junior Engineer,12,12
36,Brooke,Richard,brook.richa@perry.com,Junior Engineer,12,12
37,Connie,Ferguson,conni.fergu@thompson-boyd.com,Junior Engineer,12,12
38,Christina,Vasquez,chris.vasqu@lawson.com,Junior Engineer,12,12
39,Alexis,Hansen,alexi.hanse@smith.com,Junior Engineer,12,12
40,Adam,Thompson,adam.thomp@lowery.com,Junior Engineer,12,12
41,Jennifer,Flores,jenni.flore@huff.biz,Junior Engineer,12,12
42,Tina,Taylor,tina.taylo@dawson-durham.org,Junior Engineer,12,12
43,Troy,Warner,troy.warne@jenkins-holland.com,Junior Engineer,12,12
44,Sylvia,Ryan,sylvi.ryan@smith.com,Junior Engineer,12,12
45,Thomas,White,thoma.white@jackson.com,Junior Engineer,12,12
46,Fernando,Molina,ferna.molin@holland-cook.com,Junior Engineer,12,12
47,Michelle,Ortega,miche.orteg@sparks.com,Junior Engineer,12,12
48,Emily,Young,emily.young@anderson-bell.com,Junior Engineer,12,12
49,John,Santiago,john.santi@king.com,Junior Engineer,12,12
